Accident Level,Critical Risk,Description,es,hi,it,Id,ja,he,ga,de,fr
III,Others,"Being approx. 23:45 hrs. Mr. Eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that At that moment, the operator Mr. Samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of Mr. Eliseo.","Being approx. 23:45 hrs. The secondary crushing operator of Mr. Elisha, when he retired to his refreshment, finds the door of the open strip channel, and when approaching the door, at that time, at that time, the operator Mr. Samuel who It was on the upper platform, coordinate with the control room operator The start of the strip 6-1, at that time, the start-up product projects a particle (10x6x5cm) that affects the flange of the door and SE It projects to the height of the lenses and the SR respirator. . Elysium.","Around. 23:45 pm Mr. Eliso Secondary Crushing Operator, when retired on his snacks, seems to be open to the gate of Strip 6, and when coming to close the gate, at that moment, the operator Mr. Samuel was on the upper stage, Control Panel The coordinates with the operator of Strip 6-1, in that moment the start-up product does a particle (10x6x5cm) on the flange of the gate and projects towards the height of the lions and the project of Shri's respiratory device. Eliseo","Be approx. 23:45 hours. SECONDARY SHOULDER SHOULDER OPERATOR, when retreated to its snack, finds the slide gate of the STRIP 6 open, and when it comes to closing the gate, at that time, the operator Mr. Samuel which was on the upper platform, coordinated with The control room operator The start of the 6-1 strip, at that moment the start-up product projects a particle (10x65cm) which has an impact on the gate flange and projecting towards the height of the lens and respirator of Mr . . Eliseo.","Being around. 23:45 hours. Eliseo medium operator criminal, when retiring to his snack, found the 6th trace channel gate open, and when it approached to close the gate, in that at that time, the TN operator. Samuel is on the top platform, coordinates with the initial control room operator strip 6-1, at that time the start-up product projects the particle (10x6x5cm) impact on the gate flanges and project to the height of the lens and respirator MR. Eliseo.","Approximately 23:45 hours. ELISEO second crushing operator, when he retires his snacks, the gate of the shot of Strip 6 is opened, and when the gate is approaching when the gate is closed in that moment, the operator who was on the upper platform is that moment, The coordinates of the control room operator, the starting product, the starting product affects the flange of the gate (10 × 6 × 5 cm) and protrudes towards the height of Mr. Lens and the respiratory device. . Elezeo.","To be approx. 23:45 hours. Mr. Aliceu on two crushing operator, with his snack, finds the chaut gate of the 6th strip, and when approaching the gate, at that moment, Mr. Samuel was on the top platform, coordinates with the control room operator at the beginning of the 6-1 strip, At the moment Start-Up Product Projects Particle (10x6x5cm) affecting the tongue of the gate and screening at the height of the lenses and the extraction of Mr. Aliceo.","Be around. 23:45 HRS. Mr. Eliseo gets a crushing operator, and is retired to its snacks, gateway the series of 6 open strip, and when it comes to closing the gate, in that moment, the moment, the Worker Mr Samuel was on the upper platform, coordinates a controlled room operator of 6-1 strips, at that moment the start-up product projects initiated by a particle (10x6x5cm) affecting the flesh of the gate and abstaining Mr. Lenses and respiratory height. Elseo.","About 23:45 HRS. Mr Eliseo Secondary Crushing Operator, if he has withdrawn in his snack, finds the gate of the slide of the strip 6 open, and when they approach to close the gate, because the operator Mr. Samuel, the on the upper platform was, coordinates with the operator of the control room of the beginning of the strip 6-1, at this time, the commissioning product projects a particle (10x6x5 cm), which acts on the flange of the gate and projected to the height of the lenses and respiratory protective masks of Lord. Eliseo.","To be approx. 23:45 hrs. Mr. Elisoo Secondary Crushing Operator, at the retreat of his snack, finds the door of the band 6 open band and when she approached closing the door, at that time, the operator, Mr. Samuel which was on the upper platform, coordinated with the operator of the control room the beginning of the band 6-1, at that time, the startup product projects a particle (10x6x5cm) having an impact on the flange From the door and his projecting towards the height of the lenses and the respirator of M.. Eliseo."
I,Chemical substances,Employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,The employee was cleaning near the area of ​​the pneumatic conveyor when hit by a drop of sulfuric acid in his upper lip.,The employee was cleaning near the area of ​​the pneumatic conveyor when he was killed by the drop of sulfuric acid on his upper lip.,The employee was cleaning near the pneumatic conveyor area when he was struck by a drop of sulfuric acid on the upper lip.,The employee was doing cleaning near the pneumatic conveyor area when he was hit by a drop of sulfuric acid on his upper lip.,"When he hit one drop sulfuric acid in his upper lip, employees were cleaning near the area of ​​the air pressure conveyor.",The worker became cleaning near the pneumatic conveyor space when he was hit by a drop of sulfuric acid on his upper lip.,The employee was cleaning near the area of ​​pneumatic behavior when he met a drop of sulfuric acid on its upper lip.,The employee saw near the surface of the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,The employee was cleaning near the pneumatic conveyor area when he was touched by a drop of sulfuric acid on his upper lip.
II,Others,"Employee assisted in the support of the gate, while the other the tying of the canvas in the frame, and by pressing the rope so that the canvas stretched, the metal structure moved, coming out of the wooden support, falling and striking against the employee's face, causing a cut in the right superciliary.","Employee attended on the door support, while the other the tied of the canvas in the frame, and pressing the rope so that the canvas stretched, the metallic structure moved, coming out of the wooden support, falling and hitting against the employee. Face, causing a cut in the right supercilry.","The employee helped in support of the gate, while by pressing the canvas in the frame, and by pressing the rope so that the canvas spread, the structure of the metal went out, out of wood support and striking face against the employee, cut the right superior. The reason for","Assisted employee in the support of the gate, while the other canvas binding in the frame, and pressing the rope so that the canvas extended, the metal structure moved, which comes out of the wooden support, falling and hitting against the face employee , causing a cut in South-Ceniliarium.","Employees help in the gate support, while others bind the canvas in the frame, and by pressing the rope so that canvas stretches, the metal structure moves, out of wood support, falls and striking from facial employees, causing wounds in the right superciliary.","Employees supported the support of the gate, but the metal structure is moved by pressing the rope as the canvas is stretched, and the metal structure is moved out from the support of wood, and supporting and hitting employees Face and cause the right upper limit of the right.","The worker helped support the gate, while the second of the fabric tying in the frame, and by pressing the rope, so that the painting is stretched, the metal structure moves, comes out of the wood support, falls and impressive against the worker, causing the incision in the end.","The employee helped the support of the gate, and the other canvas to the frame, and through the rope and the stretched canvas, moved the metal structure, coming out of the wooden support, fall and hitting against The employee face, creating a cut in the correct cover.","Employees who were supported in support of the gate, while the other bind the canvas in the frame and by pressing the rope, so that the canvas was stretched, the metal structure moved out of wood support and hit the Employed face, causes a cut in the right floor.","Employee helped in support of the door, while the other the fastener of the canvas in the frame and pressing the rope so that the canvas stretches, the metal structure moved, coming out of the wood support, falling and striking against the face employee, causing a cup in the right superior."
III,Others,"In phase I, the operator carried out the removal of inchancanbles of the reciprocating feeder, while removing a split set with the support of a rope, the staff supports the left hand on the structure of the protection against falling, it is at this moment that another split set comes out together with the load and hits on the distal phalanx of the fifth finger of the left hand, generating the described injury.","In Phase I, the operator conducted the elimination of clarity of the reciprocal feeder, while eliminating a set of divisions with the support of a rope, the personnel admits the left hand in the structure of fall protection, is at this time That another set of divided leaves along with the load and hits in the distal phalenge of the fifth finger of the left hand, generating the described injury.","In step 1, during the removal of the inches of reciprocal feeder, removing a partition set with the support of the rope, supports the left hand on the structure of security against the falling of the employee, it is currently another partition set load Comes out and hits the left-hand fifth finger on the remote function, which generates injury.","In phase I, the operator carried out the removal of infiltrators of the alternative power supply, while removing a set divided with the support of a rope, the staff supports the left hand on the structure of the protection against the fall, it is right now a moment Another divided set comes out along with the load and strokes on the distal phalania of the fifth finger of the left hand, generating the described lesion.","In phase I, the operator does the removal of inchancanbles from the feeder back and forth, while removing the Split set with rope support, the staff supports the left hand on the protection structure against falls, this time is now another Split set appears along with the load and hit on the distal phalanx from the finger The five left hands, produce injuries described.","The staff removing the in-phase, reciprocating feeder's in-campbulling and removing the division set that supports the support of the rope, while the staff supports the left hand and is at that moment. Another split set appears with the load on the fifth finger of the left hand and causes the indicated injury.","In the first stage, the operator performed the removal inchancanbles of reciprocate nutrient, while removing a splitting with a rope support, the staff supports the left hand on the fall protection structure, it is at this moment because it is at this moment and another split set goes along with the clutter of the finger and the diasty The fifth of the left hand, yields the descriptive injury.","In step in, the operator finally made the reciprocating feeder hinanscanbles, and removing split to achieve support from rope, the team supports the left hand on the structure of defense against fall, it is at the Sometimes another series comes out with the load and the occasions on the distal phalanx of the fifth finger on the left hand, generating the harm described.","In Phase I, the operator carried out the removal of inchcancin bls of the lifting piston conveyor, while he had taken a split set with the support of a rope, the staff supports the left hand on the structure of fall protection, it is a further divided set at this moment Appears along with the load and hits on the distal phalanx of the fifth finger of the left hand and creates the described injury.","In Phase I, the operator has carried out the inches of the reciprocal feeder, while removing a ditch assembly with the support of a rope, the personnel supports the left hand on the structure of protection against the protection against Falling is at that time that another split ensemble comes out with the load and hits on the distal phalanx of the fifth finger of the left hand, generating the injury described."
IV,Others,"In circumstances that the assistant of mine was arranging to advance the hose of flexible nylon of 1 ""of diameter, to proceed with the watered of shot fired, positioning itself under a zone with the support deteriorated by the last blasting, moment in which it gives off a block of rock (25cmx10cmx5cm; 3.5 Kg) of the roof of the work of a height of 5.2 meters which when falling hits by rebound in the left leg of the collaborator causing the described injury.","In circumstances that the assistant Mine was willing to advance in the flexible nylon hose of 1 ""in diameter, to proceed with the irrigation of shooting to the fired, positioned under an area with the support of deterioration by the last volume, at which time DA. Outside a rock block (25cmx10cmx5cm; 3.5 kg) of the ceiling of the work of a height of 5.2 meters that fell hits the rebound in the left leg of the collaborator that causes the described injury.","In the circumstances that my assistant was arranging to pursue the flexible nylon tube of 1 ""diameter, to move forward with shot water, under a zone, the final explosion with the fall in the position below an area It worsened, in which he gives 5.2 meters of rock (25 CMX 10 CMX 5 cm;","In the circumstances that the assistant of mine was organizing to advance the flexible nylon tube of 1 ""in diameter, to proceed with the watered shot fired, positioning themselves under an area with the deteriorated support from the last sandblasting, moment in which It gives a rock block (25cmx10cmx5cm; 3.5 kg) of the work roof of a height of 5.2 meters that when they fall the rebound in the left leg of the collaborator that causes the wound described.","In the circumstances that my assistant arranged to advance a flexible nylon hose 1 ""Diameter, to continue with a dilute shot that was fired, positioning himself under the zone with deteriorating support by the last blast, where he gave from a stone block (25cmx10cmx5cm; 3.5 kg) the roof of a 1.2 meter height work which when it fell hit by rebounding on the left foot collaborator described.","In the situation where the flexible nylon hose of the mine is aimed to advancing the flexible nylon hose of the diameter, the water of the water of water of the shot water is advanced and the support is degraded by the last blasting. A 5.2-meter roof roof block (25 cmx10cmx5cm; 3.5 kg) to be placed under the zone causes the explained injury when decline on the left leg of the collaborator.","Under the circumstances that my assistant was ordered to promote the tube of flexible nylon of 1 ""diameter, proceed with the water of shot shot, location under the area with detoxified support by the last explosion, a moment when it gives outside the block of rock (25cmx10cmxx5cm, 3.5 km"" C) of the roof of the height of 5.2 meters which when falling by a rebound on the left leg of collaborates and causes an injury described.","In circumstances the assistant of mine was to arrange to promote the pipe of a flexible nylon of 1 ""the diameter, to proceed with the fired shot watered, set itself under a zone with the deterioration support at the final explosion, a moment in which It gives outside a rock block (25cmx10cmx5cm; 3.5 kg) of the roof of 5.2 meters of work of 5.2 meters falling on when it is falling in the foot cooperary causing the injury.","Under the circumstances that the assistant from me should drive the hose of the flexible nylon of 1 ""of the diameter to be fired with the watering shot is positioned under a zone with the support degraded by the last rays It gives from a stone block (25 cmx10cmx5cm; 3.5 kg) of the roof of the factory of the height of 5.2 meters, which causes the described hits by recreation in the left leg of the collaborator the described injury.","In circumstances that the mine assistant arranged to advance the flexible nylon pipe of diameter, to carry out the firing water, position itself under an area with the support deteriorated by the last blasting, moment. where he gives on a rock block (25cmx10cmx5cm; 3.5 kg) of the roof of the work with a height of 5.2 meters which, when he fell on bounces in the left leg of the collaborator, causing the Injury described."
I,Others,"Inside mine during the diamond drilling of a positive 15 ° drill, in moments when the control tube was rescued with the fisherman, the winch cable breaks untimely developing a whiplash effect and impacting on the left hand of the drilling assistant causing the described injury. At the time of the accident the drilling assistant was on the platform at 1.0m from the frame and was using his Hycron-type safety gloves.","Within the mine during the diamond drilling of a 15 ° positive drill, at a time when the control tube was rescued with the fisherman, the winch cable is permanently broken to develop a whiplash effect and affected in the left hand From the drilling assistant that causes the described injury. At the time of the accident, the drilling assistant was on the platform 1.0 m from the frame and was using its hydron safety gloves.","Inside the mine during the diamond drilling of a positive 15 degree drill, when the control tube was rescued with fisherman, the winch cable develops a whiplash effect and due to injury described on the left hand of the drilling assistant Is affected. At the time of the accident, the drilling was on the platform at 1.0 meters from the frame and its hybrid-type was using security gloves.","Inside the mine during the diamond drilling of a 15th-positive drill, in the moments in which the control tube has been saved with the fisherman, the wire of the argan interrupts in a way in a way of a frustration and the Impact on the left hand of the drilling assistant which causes the lesion described. At the time of the accident, the drilling assistant was on the platform at 1.0 m from the frame and used its YCron type safety gloves.","In the mine during a diamond drilling 15 ° a positive drill, at times when the control tube is saved with fishermen, the Winch cable penetrates premises to develop the whiplash effect and impact on the left hand of the drilling assistant that causes the injury described. At the time of the accident, the drilling assistant was on a platform at 1.0 million of the frame and using Hyron type safety gloves.","During the drilling of the mine diamonds, in the moment when the control tube is rescued with the fisherman, the winch cable can develop the effects of ice and cause injury that collides with the left hand of the drilling assistant. During the accident, the drilling assistant was on a 1.0 M platform from the frame and used his high-acne safety gloves.","In my course during diamond drilling of 15 ° exercise, moments where the control pipe was saved with the fisherman, cable winner breakdown to develop a scuba effect to affect the left hand of the drilling assistant. While accident help drilling was on the platform at 1.0m from the frame and used its HYCRON safety gloves.","Inside mine during a diamond drilling of 15 ° positive drilling, in moments when the controlled tube was rescued with the fisherman, the winch cable breaks sharply by developing a whiplash effect and impact on the left hand the drilling assistant causes the injury Put down. At the time of the accident was the drilling assistant on the platform at 1.0m from the frame and was using his Hycron-type safety gloves.","In the mine during the diamond drill of a positive 15 ° drill, in the moments in which the control tube was saved with the fisherman, the winch cable results in careless to develop a whiplash effect and influence the left hand of the drill wizard, What causes the described injury. At the time of the accident, the drill wizard was located on the platform with 1.0 m from the frame and used its hycron-type safety gloves.","Inside the mine during diamond drilling of a positive drill at 15 °, in a few moments when the control tube has been saved with the fisherman, the winch cable breaks to develop an overlapping effect and The impact on the left hand of the drill wizard causing the described injury. At the time of the accident, the drill wizard was on the 1.0 m platform of the frame and used its Hycron-type safety gloves."
I,Pressurized Systems,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.","As the employee cleaned the heat recovery boiler with an air pen, the hose loosened from the connection of the pipe, drawing a jet of compressed air towards his right ear, causing impact noise.","Since the employee cleansed the thermal recovery boiler by using air bounce, the hose became loose from the pipe connection, pulling a jet of compressed air towards its right ear, thereby impact noise.","Since the employee cleaned the thermal recovery boiler using an air arm, the tube loosened from the connection of the tube, drawing a jet of compressed air towards the right ear, causing impact noise.","When employees clean the thermal recovery boiler using the air boom, the hose is loose from a pipe connection, drawing a compressed air jet to his right ear, causing noise impact.","Since employees have cleaned the heat recovery boiler using an airbuquume, loose hoses from pipe connections, draw the compressed air jet towards the right ear, and cause shock noise.","As the employee cleaned the uncle of thermal recovery using air boom, the tube was released from the tube connection, draws a jet of compressed air towards his right ear, causing noise effect.","As the employee cleans the thermal recovery boiler using air boom, release the pipe from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.","Since the employee purified the heat gain boiler with an air boom, the hose loosened from the pipe connection, whereby a compressed air jet moved towards his right ear, which leads to an impact noise.","As the employee cleaned the thermal recovery boiler with an air arrow, the hose relax from the pipe connection, pulling a compressed air jet to his right ear, causing a sound of impact."
II,Others,"In the activity of loading of explosives in front of level 326 GTS, there was a fall of a Rock fragment reaching right arm of the Blaster causing a cut-blunt.","In the explosive loading activity versus level level 326 GTS, there was a fall of a rock fragment that reached the right arm of the blaster that caused a cutting cut.","In the activity of the loading of explosives in front of 326 GTS level, there was a collapse of a rock clause, which was reaching the right hand of the blutter.","In the exposure loading activity in front of the 326 GTS level, there was a fall of a rock fragment that reaches the right arm of the blaster causing a cut.","In the loading of explosives in front of the 326 GTS level, there is a stone fragment that reaches the blaster's right arm that causes cut-blunt.","Level 326 In the activity of loading explosives in front of GTS, there was a fall of a fragment of rocks that reached the right arm of the brasser.","In the activity of charging explosives in front of Level 326 GTS, there was a fall of a rock fracture to reach the right arm of the blaster cut blunt.","In the activity of the explosive loading in front of 326 GTS, there was a drop of rock fragment to achieve a right hand the blaster causing a cut-blunt.","At the activity of the loading of explosives before a level 326 GTS there was a fall of a rock fragment, which reached the right arm of the blaster, which became a cut dull.","In the explosive loading activity in front of the level 326 GTS, there was a fall of a rock fragment reaching the right arm of the blaster causing a cut cut."
I,Others,"In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (Rollover) of the Small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the Rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. At the time of the accident both employees used their respective gloves.","In circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (rollover) of the small 02 on the trolley platform on the floor, the two squat collaborators decide to push one on each side, at which time a Edge of the reinvestment entered the third finger from the left hand against the carriage handle on the right side, causing the wound in the left hand of the third finger. At the time of the accident, both employees used their respective gloves.","In the circumstances, mechanical technicians and their work associates arranged to adjust the smaller 02 (rollover) on the stage of the cart, two squat affiliates decide to push one on every side, at the time one edge rollover On the right side, the third finger of the left hand against the handle of the car is causes the wound on the left hand. Both employees used their respective gloves at the time of accident.","In circumstances that the mechanical technician and his work colleague are organized to welcome the replacement (rollover) of the small 02 on the platform of the trolley on the floor, the two squat collaborators decide to push one on each side, at that point a board of The rollover imprisons the third finger of the left hand against the handle of the trolley on the right side, causing the wound on the left hand of the third finger. At the time of accident both employees used their respective gloves.","In the circumstances that the mechanical technician and his colleagues were arranged to accommodate reserves (rollover) from 02 small on the cart platform on the floor, two squat collaborators decided to push one on each side, at that time one side rollover imprisoned the third finger left hand to the handle of the cart on The right side, causes injury to the third finger finger. At the time of the accident of both employees using their respective gloves.","In situations where mechanical engineers and his work colleagues are arranged to accommodate small 02 spare (rollover) on the cart platform on the floor, the two squatocorousorators are one end to each side Decide to press. Rollover impossible the third finger of the left hand against the cart handle on the right side, winds on the left side of 3 fingers. At the time of an accident, both employees used each glove.","Under circumstances that mechanical technician and his worksheet are arranged to match the circular spare on the floor of the cart on the floor, two squat collaborators decide to push one on each side, at the same time one end of the third finger rolls on the wagon handle On the right, causes the wound on the third hand finger left. During the accident, employees also used their gloves.","In circumstances the mechanical technician and work colleague attended the spare (rollover) the small 02 on the chart platform on the floor, the two squat co-workers push each side, at that time one edge of The rollover on the third finger of left hand against the handle of the chart on the right side, causing the wound on the third finger left. At the time of the accident for the use of its respective gloves.","Under circumstances in which the mechanical technician and its work college are set up to record the replacement (rollover) of the small 02 on the platform of the car on the ground, the two squat collaborators decide to push one on each side, to which Time An edge from the rollover is the third finger of the left side against the handle of the car on the right side, causing the wound on the third finger left hand. At the time of the accident, both employees used their respective gloves.","In circumstances that the mechanical technician and his co-worker are organized to accommodate the spare service (rolling) on ​​the platform of the cart on the ground, the two Squat employees decide to push one on each side, to The time of an edge of the Rollover holds the third finger of the left hand against the handle of the carriage on the right side, causing the wound on the left hand of the third finger. At the time of the accident, both employees used their respective gloves."
III,Others,"Once the ore loading in the LT-30 locomotive was completed; the penultimate car derails (7th car), by the presence of fragment of rock in the railway line, (weight of the car with mineral 8 tons), and to get it back on track the mining car, the victim makes use of a metal tube (length 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; at that moment the metallic tube loses stability and imprisons the victim's hand against the strut of the mining car. The collaborator at the time of the event towards the use of his leather gloves.","Once the mineral load was completed in the LT-30 locomotive; The penultimate decarila car (7th car), by the presence of rock fragment on the railway line, (automobile weight with 8 ton mineral), and to recover it on the tracking of the mining automobile, the victim makes use of a metal. Tube (length of 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; At that time the metallic tube loses stability and trains the hand of the victim against the strut of the mining automobile. The collaborator at the time of the event towards the use. of his leather gloves.","Once after loading ore in LT-30 locomotives; The last car is the presence of rock pieces in the railway line (7th car), (the weight of the car with mineral 8 ton), and to get it back to track the mining car, the sufferer uses tube (length To rotate and restore the mining car at 1.20 meters and 4 ""diameter); Metal tube mining at that moment the stability of the victims against the strat.","Once the ore loading in the LT-30 locomotive is completed; The penultimate car derailed (7th machine), from the presence of rock fragment in the railway line, (weight of the car with mineral 8 tonnes), and to bring it back to the track the mining machine, the victim makes use of a metal tube (length 1 , 20 meters and 4 ""diameter) to maneuver and reposition the mining machine; at that moment the metal tube loses stability and imprisons the victim's hand against the mining machine upright. The collaborator at the time of the event towards the use of his Leather gloves.","After loading ore in the LT-30 locomotive is complete; The second car was broken slipped (7th car), with the presence of stone fragments on the railway line, (heavy cars with 8 tons minerals), and to get it back on tracking cars, victims utilizing metal tubes (1.20 meters long and diameter 4 "") To maneuver and reposition the mining car; at that time the metal tube lost stability and imprisoning the victim's hand against the mining car buffer. Collaborator at the time of the event towards the use of his skin gloves.","Once the ore load is completed by the LT-30 locomotive. The second car derailment (7th) is a railway line fragment (car weight at 8 tons of minerals) and the victim uses metal to track mine cars Operate and rearrange tubes (length 1.20 meters and 4 ""diameter 4""). At that moment, the metal tube loses stability and the victim's hand is impossible for the post of the mine car. Co-editor at event to use His leather gloves.","After thickness, locomotive LT-30 was completed; The final car (car 7), by the presence of a rock fragment on the train line, (car weight with 8 tons), to return it on the silver track, the victim makes use of metal pipe (length 1.20 meters) to maneuver And the location of the car mining; At that moment a metallic pipe loses stability and violate the victim's hand on the car support of the mining.","Once the ore weighting was completed in the Lopomotive LT-30; The derails of the penultimate car (7th car), by the shell of the rock to appear in the railway line, (the car weight with tons minerals 8), and to get it back on tracking the mining car, female the victim Use metal goes the tube (length 1.20 meters and 4 ""diameter) to maneuver and reset the mining car; from its leather gloves.","As soon as the zero charge was completed in the LT-30 locomotive; The penultimate car derailed (7th car), through the presence of rock fragment in the railway line (weight of the car with mineral 8 tons), and to bring the mining car back on the way, the victim uses a metal tube (length 1 20 meters and 4 ""diameter) to maneuver and position of the mining; At this moment, the metallic tube loses stability and enlarges the hand of the victim against the strut of the mining cart. The collaborator at the time of the event for use by its leather gloves.","Once the ore load in the LT-30 locomotive has been completed; The penultimate car cleaved (7th car), by the presence of rock fragment in the railway line, (car weight with mineral tons) and to put it back on the road of the mining car, the Victim uses a tube metal (1.20 meter and 4 ""diameter length) to maneuver and reposition the mining car; at that time, the metal tube loses stability and prints the hand of the victim against the leg From the mining car. The collaborator at the time of the event towards the use of his leather gloves."
I,Others,"At a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm","At a time when the heavy equipment operator was placed on the computer to verify the right front lighthouse (defective) of the scooptram track # 181, in the edge position # 2 his left leg that slides, which makes it The heavy equipment operator falls a height of 0.60 cm","At one time when the heavy equipment operator found on the device to check the right headlight (faulty) of Scoopetram # 181, the position on Rim Status # 2 which slides its left leg, thereby falling from heavy equipment operator height 0.60 cm","At a time when the heavy equipment operator got the equipment to control the right front lighthouse (defective) of the scooptram # 181, position on the position of the # 2 circle his left leg that slips, dropping the operator of Heavy equipment from a height of 0.60 cm","When heavy equipment operators ride the equipment to check the right headlights (defects) from ScoopTram # 181, the position in the position of the RIM # 2 left leg which slid, causing heavy equipment operators to fall from height. 0.60 cm.","When the operator of the heavy equipment is on the device, check the front head (defective) on the right side of SCOOPTRAM # 181 (defective), the position of the left leg of the slide position # 2, the height of the height 0.60 cm falls from","Whenever, when running heavy equipment on the equipment to check the right front flashlight (damaged) of Scootram # 181, location on the rim location # 2 legal leg which slides, causing heavy equipment operator to fall back from 0.60 cm","At a time when the operator got heavy equipment on the equipment to the initial front headlight (defective) the scooptram # 181 to check, standing on the situation RIM # 2 a left foot that slid, creating the heavy equipment operator fall from height of 0.60 cm","At a time when the heavy equipment operator rose to the device to check the right front headlamp (defect) of the ScoopTram # 181, position on the rim position No. 2 its left leg, which slides, causing the heavy equipment control from a height falls from 0.60 cm","At a time when the heavy equipment operator turned on the equipment to check the right front light (defective) of ScoopTram No. 181, position on the position of the rim 2 his left leg that slips , dropping the height equipment operator. 0.60 cm"
I,Others,"In the Alimak chimney of level 2440, the alimakero driller and his assistant are positioned in the main cage with guard heads and proceed to perform the rock untie at the top of the chimney, it is at this time that the teacher perceives a spark of rock in the top and communicates to the assistant so that this prevented, when falling the rock of 1.0x0.80x0.20 m on the guard heads is fragmented and one of the fragments fall on the chain and rebound rubs the operator's right hand generating the described injury.","In the Alimak Fireplace of Level 2440, the Alimakero drilller and its assistant are positioned in the main cage with guard heads and proceed to make the rock unleashed at the top of the fireplace, is at this time that the teacher perceives a Rock spark. At the top and communicates to the assistant so that this is avoided, by falling the rock of 1.0x0.80x0.20 m in the heads of the guard is fragmented and one of the fragments fall on the chain and the rebound rubs the hand Right of the operator that generates how described injury.","In the Level 2440's Aliment Chimney, Alemaker's driller and their subsidiary are located in the main cage with the heads and moves forward to open the rock at the top of the fireplace, at this time the teacher understands the spark of the rock and communicate to the assistant in the top. So that it can be stopped, the reef of 1.0x0.80x0.20 meters on the guard head has been fragmented and falls on a series of pieces and describes the right hand of the operators.","In the Alimak chimney of the level 2440, the puncher Alimakero and his assistant are positioned in the main cage with guard heads and proceed to perform the rolled rock in the upper part of the fireplace, it is at the moment that the teacher perceives a rock spark in the Upper part and communicates the assistant so that this prevented, when falling the rock of 1.0x0.80x0.20 m on the guard heads is fragmented and one of the fragments fall on the chain and the rebound rubs the right hand of the operator that generates the Described injury.","At Chimney Alimak Level 2440, The AlimaCero Driller and his assistant was positioned at the main enclosure with the guard's head and proceeded to do a candle stone above the chimney, at this time the teacher felt a stone splash at the top and communicated with the assistant so this was prevented, when it fell down 1.0x0.80x0.20 m on the fragmented guard head and one of the fragments falls on the chain and rebounds rub the operator's right hand that produces injury.","In the level 2440 Alimak chimney, Alima Kero Driller and its assistant are located in the main coffin with a security guard's head, carry out the top of the rock at the top of the chimney, and a rock spark occurs at this time . Because it is at the top, a rock of 1.0 × 0.80 x 0.20 m in the guard head is fragmented with a guard head, one of the fragments falls onto the chain, and rebound is explained. Realize the right side of the operator. injury.","At Level 2440, Elimakero Drill and his assistants are located in the main cage with main safeguards and continue to carry out the rock again at the top of the chimney, it is at this stage that the teacher grabs a spark of rock at the top and calls the assistant, so that the rock falls 1.0x0. 80x0.20 m on the guards' heads is fragmented and one of the fragments fall on the network and rebound rubs the right hand of the operator to produce the injury described.","In the Alimak chimney of Level 2440, the Alimero Driler and his assistant are located in the capital of Garda leaders and continue to make the rock at the top of the chimneys, it is at this time that the teacher sees spark rock in the top and does Communication with the assistant so that this is prevented, when the Rock 1.0x.80x0.20 m on the Garda heads and that one of the fragments on the chain and that rebound falls on the right of the operator an injury operator.","In the Alimak Fireplace of Stage 2440, the alimakero drill and its assistant are positioned and driving in the main cage with wake heads to carry out the rocks on the top of the chimney, it is at this time that the teacher perceives a spark of rocks in the Tip and communicates to the wizard so that it is prevented that the rock of 1.0 x 0.80x0.20 m is fragmented on the protective heads and one of the fragments fall on the chain and rebound rubs the right hand of the operator that described generated injury.","In the level 2440 Alimak fireplace, the Alimakero drillery and its assistant are positioned in the main cage with custody heads and carry out the realization of the rock at the top of the chimney, it is at that time that the teacher perceives a spark of rock at the top and communicates to the assistant so that it prevented, during the fall of the rock of 1,0x0.80x0.20 m on the guard heads, is fragmented and one of the fragments falls On the chain and rebound rubbing the right hand of the operator generating the hand described injury."
